year_month,year,month,zabol_aod,wwte_index,toward_pixel_count,source_valid_pixel_count,source_aod_mean,source_aod_toward_mean,mean_dist_decay,mean_cosang_toward,high_toward_aod_mean,high_toward_fraction,wwte_index_norm
2000-03,2000,03,0.26328739523887634,0.006465480662882328,39904,144116,0.23997153341770172,0.24716579914093018,0.2221834094592975,0.5624141693115234,0.45713192224502563,0.25037590216519645,0.15664707863153535
2000-04,2000,04,0.17356956005096436,0.0075165340676903725,44507,169737,0.257793664932251,0.3060206472873688,0.20873016882872739,0.5386728048324585,0.6490455269813538,0.25007302222122363,0.19115458860182372
2000-05,2000,05,0.142630934715271,0.006534744054079056,46205,172885,0.25216761231422424,0.27572643756866455,0.20779477156461354,0.5392673015594482,0.5578210949897766,0.2500595173682502,0.1589210897820283
2000-06,2000,06,0.173919677734375,0.0073884837329387665,47010,175458,0.29759326577186584,0.28971582651138306,0.20739811984437043,0.537514865398407,0.664087176322937,0.25009572431397575,0.18695052229755557
2000-07,2000,07,0.5105456113815308,0.008304878138005733,46481,171857,0.3746260404586792,0.35163959860801697,0.20711786982041727,0.5411783456802368,0.7485536336898804,0.25057550396936384,0.21703699452142905
2000-08,2000,08,0.28747186064720154,0.005930404178798199,45396,168573,0.29327207803726196,0.2784510552883148,0.20776286618292086,0.5421727895736694,0.5492103099822998,0.2508591065292096,0.13907979135104545
2000-09,2000,09,0.27738329768180847,0.0055604130029678345,47926,178386,0.22766268253326416,0.22777065634727478,0.20543201660245233,0.5378914475440979,0.45736438035964966,0.25040687726912325,0.1269324788258396
2000-10,2000,10,0.13515888154506683,0.00382345006801188,46988,176067,0.1547730267047882,0.16617003083229065,0.20637450361480805,0.5375036001205444,0.32165560126304626,0.2509364092959905,0.069905627933367
2000-11,2000,11,0.1076701357960701,0.0031959409825503826,44400,166090,0.14573268592357635,0.14310772716999054,0.21433619805331325,0.5506211519241333,0.26812314987182617,0.25173423423423424,0.04930365288247619
2000-12,2000,12,0.08889905363321304,0.00295308162458241,38424,131403,0.13018886744976044,0.12331536412239075,0.22409271084413576,0.5669710040092468,0.22838182747364044,0.2520560066625026,0.04133025050527901
2001-01,2001,01,0.14176742732524872,0.0037274376954883337,38242,133387,0.14782832562923431,0.14113782346248627,0.2238655128061657,0.5657628178596497,0.2681903541088104,0.25043146278960304,0.06675341141708789
2001-02,2001,02,0.19699101150035858,0.003798193298280239,42841,132959,0.193036749958992,0.16957661509513855,0.1968038987184646,0.6330803036689758,0.31646376848220825,0.2524217455241474,0.06907641389976511
2001-03,2001,03,0.20595471560955048,0.004518822766840458,57183,157608,0.18676650524139404,0.1735285073518753,0.20251898292275222,0.5792983770370483,0.31377413868904114,0.25070388052393194,0.0927356575285576
2001-04,2001,04,0.26845473051071167,0.011535082943737507,81453,172090,0.2372492253780365,0.23618434369564056,0.19473931484569298,0.6286896467208862,0.4099305272102356,0.25048801149128946,0.32308900294455944
2001-05,2001,05,0.27822691202163696,0.015250151045620441,112676,173680,0.24950779974460602,0.2421598583459854,0.1579827311658394,0.7036562561988831,0.44308722019195557,0.2500443750221875,0.44505973152941064
2001-06,2001,06,0.9037864208221436,0.022215723991394043,115934,157458,0.30565813183784485,0.297446608543396,0.14655063292876824,0.6763007640838623,0.6162698864936829,0.2506684837925026,0.673748946345238
2001-07,2001,07,0.7842027544975281,0.025061478838324547,118075,166835,0.3407677412033081,0.3473314046859741,0.1470788797312093,0.6808544397354126,0.7343445420265198,0.25001058649163665,0.7671789407720058
